#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"82,133,342",,"1,013,044 ",,"80,015,081",,"1,105,217","1,592","245,579","3,029","992,445,691","2,967,412","334,448,237 ",North America,43300,,,"3,305"
2,India,"43,038,016",,"521,746 ",,"42,505,410",,"10,860",698,"30,652",372,"794,525,202","565,866","1,404,087,743 ",Asia,"332,6912",,,8
3,Brazil,"30,183,929",,"661,552 ",,"29,126,303",,"396,074","8,318","140,233","3,074","63,776,166","296,300","215,241,599 ",South America,73253,,,"1,840"
4,France,"27,163,629",,"143,625 ",,"24,344,051",,"2,675,953","1,541","414,523","2,192","260,504,402","3,975,351","65,529,910 ",Europe,24560,,,"40,836"
5,Germany,"22,936,514",,"132,599 ",,"19,179,300","+286,200","3,624,615","1,980","272,213","1,574","122,332,384","1,451,852","84,259,518 ",Europe,46351,,,"43,017"
6,UK,"21,679,280",,"170,395 ",,"19,891,817",,"1,617,068",378,"316,398","2,487","511,253,697","7,461,482","68,519,051 ",Europe,34020,,,"23,600"
7,Russia,"18,030,579","+11,754","372,512 ",+267,"17,299,263","+28,135","358,804","2,300","123,459","2,551","273,400,000","1,872,019","146,045,544 ",Europe,83921,80,2,"2,457"
8,S. Korea,"15,830,644","+195,370","20,034 ",+184,N/A,N/A,N/A,"1,014","308,304",390,"15,804,065","307,786","51,347,510 ",Asia,"32,5633","3,805",4,"289,032"
9,Italy,"15,404,809",,"161,032 ",,"14,015,032",,"1,228,745",463,"255,452","2,670","207,155,729","3,435,190","60,304,008 ",Europe,43740,,,"20,376"
10,Turkey,"14,972,502",,"98,462 ",,"14,673,980",,"200,060",975,"174,200","1,146","156,329,493","1,818,843","85,949,948 ",Asia,68731,,,"2,328"
11,Spain,"11,662,214",,"103,266 ",,"11,120,708",,"438,240",368,"249,262","2,207","471,036,328","10,067,692","46,786,925 ",Europe,44530,,,"9,367"
12,Vietnam,"10,272,964",,"42,858 ",,"8,757,107",,"1,472,999","1,237","103,879",433,"85,106,796","860,593","98,893,226 ",Asia,"102,3071",,,"14,895"
13,Argentina,"9,056,203",,"128,268 ",,"8,888,514",,"39,421",424,"197,166","2,793","35,657,472","776,311","45,931,949 ",South America,53581,,,858
14,Netherlands,"8,001,830",,"22,116 ",,"7,146,067",,"833,647",101,"465,164","1,286","21,107,399","1,227,019","17,202,175 ",Europe,27781,,,"48,462"
15,Iran,"7,199,861","+2,356","140,711 ",+33,"6,930,509","+3,467","128,641","1,376","83,816","1,638","50,079,995","582,996","85,901,102 ",Asia,126102,27,0.4,"1,498"
16,Japan,"7,124,030","+51,331","28,765 ",+44,"6,591,109","+44,733","504,156",468,"56,635",229,"44,996,843","357,716","125,789,190 ",Asia,"184,3733",408,0.3,"4,008"
17,Colombia,"6,088,619",,"139,729 ",,"5,921,750",,"27,140",342,"117,438","2,695","34,183,285","659,329","51,845,560 ",South America,93712,,,523
18,Indonesia,"6,036,909","+1,551","155,746 ",+29,"5,814,688","+3,022","66,475","2,771","21,664",559,"93,593,555","335,873","278,657,588 ",Asia,"461,7893",6,0.1,239
19,Poland,"5,981,486","+1,269","115,736 ",+40,"5,333,900",+84,"531,850",268,"158,353","3,064","35,895,344","950,290","37,773,030 ",Europe,63261,34,1,"14,080"
20,Mexico,"5,723,862",+648,"323,805 ",+78,"5,024,561","+1,147","375,496","4,798","43,581","2,465","15,683,615","119,415","131,337,245 ",North America,234068,5,0.6,"2,859"
